date,price
2019-01-01,22.4
2019-02-01,25.69
2019-03-01,27.16
2019-04-01,26.67
2019-05-01,26.29
2019-06-01,24.0
2019-07-01,16.31
2019-08-01,13.88
2019-09-01,13.26
2019-10-01,15.02
2019-11-01,16.93
2019-12-01,19.65
2020-01-01,23.32
2020-02-01,25.79
2020-03-01,28.97
2020-04-01,28.66
2020-05-01,28.99
2020-06-01,21.86
2020-07-01,18.54
2020-08-01,14.65
2020-09-01,13.39
2020-10-01,14.98
2020-11-01,18.59
2020-12-01,22.98
2021-01-01,25.62
2021-02-01,27.64
2021-03-01,26.25
2021-04-01,30.99
2021-05-01,28.87
2021-06-01,22.78
2021-07-01,17.84
2021-08-01,15.31
2021-09-01,15.34
2021-10-01,15.77
2021-11-01,19.3
2021-12-01,24.07
2022-01-01,25.58
2022-02-01,27.83
2022-03-01,29.8
2022-04-01,31.1
2022-05-01,29.61
2022-06-01,24.45
2022-07-01,19.15
2022-08-01,16.19
2022-09-01,16.19
2022-10-01,16.68
2022-11-01,20.96
2022-12-01,23.25
2023-01-01,29.45
2023-02-01,30.52
2023-03-01,32.5
2023-04-01,33.04
2023-05-01,30.66
2023-06-01,25.71
2023-07-01,20.27
2023-08-01,15.73
2023-09-01,16.32
2023-10-01,18.75
2023-11-01,21.0
2023-12-01,24.92
2024-01-01,29.55
2024-02-01,30.2
2024-03-01,30.77
2024-04-01,34.33
2024-05-01,33.03
2024-06-01,27.85
2024-07-01,22.41
2024-08-01,17.7
2024-09-01,15.87
2024-10-01,19.41
2024-11-01,23.2
2024-12-01,26.95
2025-01-01,29.31
2025-02-01,34.18
2025-03-01,35.39
2025-04-01,37.65
2025-05-01,36.07
2025-06-01,29.0
