date,price
2019-01-01,25.66
2019-02-01,27.75
2019-03-01,26.89
2019-04-01,26.85
2019-05-01,27.09
2019-06-01,27.59
2019-07-01,25.41
2019-08-01,25.1
2019-09-01,24.19
2019-10-01,22.87
2019-11-01,23.35
2019-12-01,26.28
2020-01-01,27.41
2020-02-01,27.38
2020-03-01,26.71
2020-04-01,29.37
2020-05-01,27.52
2020-06-01,28.55
2020-07-01,26.01
2020-08-01,24.42
2020-09-01,25.6
2020-10-01,25.29
2020-11-01,25.52
2020-12-01,29.28
2021-01-01,29.13
2021-02-01,30.43
2021-03-01,29.66
2021-04-01,31.33
2021-05-01,30.79
2021-06-01,30.92
2021-07-01,29.83
2021-08-01,27.87
2021-09-01,27.39
2021-10-01,25.82
2021-11-01,31.26
2021-12-01,30.88
2022-01-01,32.43
2022-02-01,29.77
2022-03-01,35.38
2022-04-01,32.7
2022-05-01,32.39
2022-06-01,32.42
2022-07-01,30.76
2022-08-01,30.46
2022-09-01,26.8
2022-10-01,30.17
2022-11-01,30.02
2022-12-01,33.58
2023-01-01,32.34
2023-02-01,34.47
2023-03-01,38.32
2023-04-01,34.59
2023-05-01,33.81
2023-06-01,34.06
2023-07-01,33.66
2023-08-01,33.07
2023-09-01,31.79
2023-10-01,30.21
2023-11-01,30.73
2023-12-01,33.7
2024-01-01,37.01
2024-02-01,37.07
2024-03-01,38.42
2024-04-01,37.47
2024-05-01,38.32
2024-06-01,36.94
2024-07-01,36.08
2024-08-01,35.95
2024-09-01,32.42
2024-10-01,31.94
2024-11-01,36.13
2024-12-01,38.11
2025-01-01,38.22
2025-02-01,40.7
2025-03-01,39.15
2025-04-01,39.79
2025-05-01,39.24
2025-06-01,38.91
