date,price
2019-01-01,14.13
2019-02-01,14.47
2019-03-01,14.69
2019-04-01,14.72
2019-05-01,14.0
2019-06-01,13.15
2019-07-01,13.29
2019-08-01,12.78
2019-09-01,13.0
2019-10-01,13.71
2019-11-01,14.38
2019-12-01,15.15
2020-01-01,15.22
2020-02-01,15.42
2020-03-01,15.92
2020-04-01,15.33
2020-05-01,14.42
2020-06-01,14.09
2020-07-01,14.5
2020-08-01,13.64
2020-09-01,13.75
2020-10-01,14.25
2020-11-01,15.6
2020-12-01,16.35
2021-01-01,15.85
2021-02-01,16.43
2021-03-01,17.07
2021-04-01,16.68
2021-05-01,15.32
2021-06-01,14.9
2021-07-01,14.79
2021-08-01,14.08
2021-09-01,14.95
2021-10-01,15.32
2021-11-01,15.51
2021-12-01,16.44
2022-01-01,16.39
2022-02-01,16.82
2022-03-01,17.94
2022-04-01,17.19
2022-05-01,16.76
2022-06-01,16.41
2022-07-01,15.93
2022-08-01,15.41
2022-09-01,15.75
2022-10-01,16.45
2022-11-01,16.83
2022-12-01,17.39
2023-01-01,17.73
2023-02-01,18.51
2023-03-01,18.49
2023-04-01,19.19
2023-05-01,17.43
2023-06-01,16.74
2023-07-01,16.93
2023-08-01,16.68
2023-09-01,16.64
2023-10-01,17.56
2023-11-01,18.59
2023-12-01,18.66
2024-01-01,18.43
2024-02-01,19.22
2024-03-01,20.92
2024-04-01,19.15
2024-05-01,19.11
2024-06-01,18.2
2024-07-01,17.64
2024-08-01,17.43
2024-09-01,18.14
2024-10-01,18.04
2024-11-01,18.93
2024-12-01,20.35
2025-01-01,19.4
2025-02-01,21.15
2025-03-01,20.57
2025-04-01,20.68
2025-05-01,19.93
2025-06-01,19.72
